nb,memory,memoryPeak
0,0.837,0.862,
100,0.791,0.933,
200,0.791,0.933,
300,0.794,0.933,
400,0.797,0.933,
500,0.794,0.933,
600,0.794,0.933,
700,0.797,0.933,
800,0.820,0.933,
900,0.797,0.933,
1000,0.901,1.003,
1100,0.870,1.003,
1200,0.870,1.003,
1300,0.868,1.003,
1400,0.883,1.003,
1500,0.915,1.003,
1600,0.915,1.003,
1700,0.870,1.003,
1800,0.899,1.003,
1900,0.899,1.003,
2000,0.919,1.005,
2100,0.888,1.029,
2200,0.888,1.029,
2300,0.894,1.029,
2400,0.923,1.029,
2500,0.897,1.029,
2600,0.891,1.029,
2700,0.891,1.029,
2800,0.914,1.029,
2900,0.907,1.029,
3000,0.966,1.196,
3100,0.939,1.196,
3200,0.939,1.196,
3300,0.939,1.196,
3400,0.952,1.196,
3500,0.945,1.196,
3600,0.945,1.196,
3700,0.945,1.196,
3800,0.952,1.196,
3900,0.952,1.196,
4000,0.998,1.196,
4100,0.974,1.196,
4200,0.975,1.196,
4300,0.975,1.196,
4400,0.994,1.196,
4500,0.975,1.196,
4600,0.975,1.196,
4700,0.970,1.196,
4800,0.975,1.196,
4900,0.981,1.196,
5000,1.112,1.454,
5100,1.078,1.454,
5200,1.078,1.454,
5300,1.084,1.454,
5400,1.084,1.454,
5500,1.087,1.454,
5600,1.087,1.454,
5700,1.087,1.454,
5800,1.138,1.454,
5900,1.078,1.454,
6000,1.158,1.489,
6100,1.123,1.489,
6200,1.123,1.489,
6300,1.123,1.489,
6400,1.134,1.489,
6500,1.166,1.489,
6600,1.123,1.489,
6700,1.123,1.489,
6800,1.150,1.489,
6900,1.154,1.489,
7000,1.181,1.489,
7100,1.149,1.489,
7200,1.149,1.489,
7300,1.156,1.489,
7400,1.176,1.489,
7500,1.203,1.489,
7600,1.203,1.489,
7700,1.196,1.489,
7800,1.166,1.489,
7900,1.166,1.489,
8000,1.172,1.553,
8100,1.172,1.553,
8200,1.172,1.553,
8300,1.172,1.553,
8400,1.213,1.553,
8500,1.161,1.553,
8600,1.172,1.553,
8700,1.186,1.553,
8800,1.206,1.553,
8900,1.176,1.553,
9000,1.172,1.553,
9100,1.172,1.553,
9200,1.191,1.553,
9300,1.169,1.553,
9400,1.179,1.553,
9500,1.182,1.553,
9600,1.200,1.553,
9700,1.260,1.553,
9800,1.193,1.553,
9900,1.173,1.553,
10000,1.231,1.553,
10100,1.243,1.553,
10200,1.173,1.553,
10300,1.205,1.553,
10400,1.221,1.553,
10500,1.196,1.553,
10600,1.190,1.553,
10700,1.250,1.553,
10800,1.302,1.553,
10900,1.190,1.553,
11000,1.215,1.553,
11100,1.230,1.553,
11200,1.173,1.553,
11300,1.173,1.553,
11400,1.173,1.553,
11500,1.173,1.553,
11600,1.223,1.553,
11700,1.224,1.553,
11800,1.217,1.553,
11900,1.227,1.553,
12000,1.169,1.553,
12100,1.180,1.553,
12200,1.190,1.553,
12300,1.239,1.553,
12400,1.177,1.553,
12500,1.177,1.553,
12600,1.172,1.553,
12700,1.177,1.553,
12800,1.177,1.553,
12900,1.177,1.553,
13000,1.238,1.553,
13100,1.177,1.553,
13200,1.177,1.553,
13300,1.210,1.553,
13400,1.234,1.553,
13500,1.247,1.553,
13600,1.207,1.553,
13700,1.376,1.553,
13800,1.213,1.553,
13900,1.213,1.553,
14000,1.217,1.553,
14100,1.212,1.553,
14200,1.260,1.553,
14300,1.257,1.553,
14400,1.217,1.553,
14500,1.240,1.553,
14600,1.240,1.553,
14700,1.303,1.553,
14800,1.243,1.553,
14900,1.243,1.553,
15000,1.243,1.553,
15100,1.256,1.553,
15200,1.296,1.553,
15300,1.296,1.553,
15400,1.296,1.553,
15500,1.310,1.553,
15600,1.310,1.553,
15700,1.273,1.553,
15800,1.297,1.553,
15900,1.297,1.553,
16000,1.303,1.553,
16100,1.313,1.553,
16200,1.360,1.553,
16300,1.304,1.553,
16400,1.303,1.553,
16500,1.327,1.553,
16600,1.323,1.553,
16700,1.415,1.553,
16800,1.332,1.564,
16900,1.332,1.564,
17000,1.332,1.564,
17100,1.332,1.564,
17200,1.348,1.564,
17300,1.349,1.564,
17400,1.332,1.564,
17500,1.371,1.564,
17600,1.372,1.564,
17700,1.474,1.599,
17800,1.354,1.599,
17900,1.354,1.599,
18000,1.357,1.599,
18100,1.364,1.599,
18200,1.413,1.599,
